id,group,en,fr,it,de,es
MONSTER_1_DESC,MONSTER_DESCRIPTION,Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla
MONSTER_2,MONSTER_NAME,Ivysaur,Herbizarre,Ivysaur,Bisaknosp,Ivysaur
MONSTER_2_DESC,MONSTER_DESCRIPTION,Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla
MONSTER_3,MONSTER_NAME,Venusaur,Florizarre,Venusaur,Bisaflor,Venusaur
MONSTER_3_DESC,MONSTER_DESCRIPTION,Seed Pokémon,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla
MONSTER_4,MONSTER_NAME,Charmander,Salamèche,Charmander,Glumanda,Charmander
MONSTER_4_DESC,MONSTER_DESCRIPTION,Lizard Pokémon,Pokémon Lézard,Pokémon Lucertola,Echsen-Pokémon,Pokémon Lagartija
MONSTER_5,MONSTER_NAME,Charmeleon,Reptincel,Charmeleon,Glutexo,Charmeleon
MONSTER_5_DESC,MONSTER_DESCRIPTION,Flame Pokémon,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama
MONSTER_6,MONSTER_NAME,Charizard,Dracaufeu,Charizard,Glurak,Charizard
MONSTER_6_DESC,MONSTER_DESCRIPTION,Flame Pokémon,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama
MONSTER_7,MONSTER_NAME,Squirtle,Carapuce,Squirtle,Schiggy,Squirtle
MONSTER_7_DESC,MONSTER_DESCRIPTION,Tiny Turtle Pokémon,Pokémon Minitortue,Pokémon Tartaghina,Minikröten-Pokémon,Pokémon Tortuguita
MONSTER_8,MONSTER_NAME,Wartortle,Carabaffe,Wartortle,Schillok,Wartortle
MONSTER_8_DESC,MONSTER_DESCRIPTION,Turtle Pokémon,Pokémon Tortue,Pokémon Tartaruga,Kröten-Pokémon,Pokémon Tortuga
MONSTER_9,MONSTER_NAME,Blastoise,Tortank,Blastoise,Turtok,Blastoise
MONSTER_9_DESC,MONSTER_DESCRIPTION,Shellfish Pokémon,Pokémon Carapace,Pokémon Crostaceo,Panzertier-Pokémon,Pokémon Armazón
MONSTER_10,MONSTER_NAME,Caterpie,Chenipan,Caterpie,Raupy,Caterpie
MONSTER_10_DESC,MONSTER_DESCRIPTION,Worm Pokémon,Pokémon Ver,Pokémon Baco,Wurm-Pokémon,Pokémon Gusano
MONSTER_11,MONSTER_NAME,Metapod,Chrysacier,Metapod,Safcon,Metapod
MONSTER_11_DESC,MONSTER_DESCRIPTION,Cocoon Pokémon,Pokémon Cocon,Pokémon Bozzolo,Kokon-Pokémon,Pokémon Capullo
MONSTER_12,MONSTER_NAME,Butterfree,Papilusion,Butterfree,Smettbo,Butterfree
MONSTER_12_DESC,MONSTER_DESCRIPTION,Butterfly Pokémon,Pokémon Papillon,Pokémon Farfalla,Falter-Pokémon,Pokémon Mariposa
MONSTER_13,MONSTER_NAME,Weedle,Aspicot,Weedle,Hornliu,Weedle
MONSTER_13_DESC,MONSTER_DESCRIPTION,Hairy Bug Pokémon,Pokémon Insectopic,Pokémon Millepiedi,Raupe,Pokémon Oruga
MONSTER_14,MONSTER_NAME,Kakuna,Coconfort,Kakuna,Kokuna,Kakuna
MONSTER_14_DESC,MONSTER_DESCRIPTION,Cocoon Pokémon,Pokémon Cocon,Pokémon Bozzolo,Kokon,Pokémon Capullo
MONSTER_15,MONSTER_NAME,Beedrill,Dardargnan,Beedrill,Bibor,Beedrill
MONSTER_15_DESC,MONSTER_DESCRIPTION,Poison Bee Pokémon,Pokémon Guêpoison,Pokémon Velenape,Giftbiene,Pokémon Abeja Veneno
MONSTER_16,MONSTER_NAME,Pidgey,Roucool,Pidgey,Taubsi,Pidgey
MONSTER_16_DESC,MONSTER_DESCRIPTION,Tiny Bird Pokémon,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel,Pokémon Pajarito
MONSTER_17,MONSTER_NAME,Pidgeotto,Roucoups,Pidgeotto,Tauboga,Pidgeotto
MONSTER_17_DESC,MONSTER_DESCRIPTION,Bird Pokémon,Pokémon Oiseau,Pokémon Uccello,Vogel,Pokémon Pájaro
MONSTER_18,MONSTER_NAME,Pidgeot,Roucarnage,Pidgeot,Tauboss,Pidgeot
MONSTER_18_DESC,MONSTER_DESCRIPTION,Bird Pokémon,Pokémon Oiseau,Pokémon Uccello,Vogel,Pokémon Pájaro
MONSTER_19,MONSTER_NAME,Rattata,Rattata,Rattata,Rattfratz,Rattata
MONSTER_19_DESC,MONSTER_DESCRIPTION,Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus,Pokémon Ratón
MONSTER_20,MONSTER_NAME,Raticate,Rattatac,Raticate,Rattikarl,Raticate
MONSTER_20_DESC,MONSTER_DESCRIPTION,Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus,Pokémon Ratón
MONSTER_21,MONSTER_NAME,Spearow,Piafabec,Spearow,Habitak,Spearow
MONSTER_21_DESC,MONSTER_DESCRIPTION,Tiny Bird Pokémon,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel,Pokémon Pajarito
MONSTER_22,MONSTER_NAME,Fearow,Rapasdepic,Fearow,Ibitak,Fearow
MONSTER_22_DESC,MONSTER_DESCRIPTION,Beak Pokémon,Pokémon Bec-Oiseau,Pokémon Becco,Pickvogel,Pokémon Pico
MONSTER_23,MONSTER_NAME,Ekans,Abo,Ekans,Rettan,Ekans
MONSTER_23_DESC,MONSTER_DESCRIPTION,Snake Pokémon,Pokémon Serpent,Pokémon Serpente,Schlange,Pokémon Serpiente
MONSTER_24,MONSTER_NAME,Arbok,Arbok,Arbok,Arbok,Arbok
MONSTER_24_DESC,MONSTER_DESCRIPTION,Cobra Pokémon,Pokémon Cobra,Pokémon Cobra,Kobra,Pokémon Cobra
MONSTER_25,MONSTER_NAME,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu
MONSTER_25_DESC,MONSTER_DESCRIPTION,Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón
MONSTER_26,MONSTER_NAME,Raichu,Raichu,Raichu,Raichu,Raichu
MONSTER_26_DESC,MONSTER_DESCRIPTION,Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón
MONSTER_27,MONSTER_NAME,Sandshrew,Sabelette,Sandshrew,Sandan,Sandshrew
MONSTER_27_DESC,MONSTER_DESCRIPTION,Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón
MONSTER_28,MONSTER_NAME,Sandslash,Sablaireau,Sandslash,Sandamer,Sandslash
MONSTER_28_DESC,MONSTER_DESCRIPTION,Mouse Pokémon,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón
MONSTER_29,MONSTER_NAME,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀
MONSTER_29_DESC,MONSTER_DESCRIPTION,Poison Pin Pokémon,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno
MONSTER_30,MONSTER_NAME,Nidorina,Nidorina,Nidorina,Nidorina,Nidorina
MONSTER_30_DESC,MONSTER_DESCRIPTION,Poison Pin Pokémon,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno
MONSTER_31,MONSTER_NAME,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen
MONSTER_31_DESC,MONSTER_DESCRIPTION,Drill Pokémon,Pokémon Perceur,Pokémon Trapano,Bohrer-Pokémon,Pokémon Taladro
MONSTER_32,MONSTER_NAME,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂
MONSTER_32_DESC,MONSTER_DESCRIPTION,Poison Pin Pokémon,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno
MONSTER_33,MONSTER_NAME,Nidorino,Nidorino,Nidorino,Nidorino,Nidorino
MONSTER_33_DESC,MONSTER_DESCRIPTION,Poison Pin Pokémon,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno
MONSTER_34,MONSTER_NAME,Nidoking,Nidoking,Nidoking,Nidoking,Nidoking
MONSTER_34_DESC,MONSTER_DESCRIPTION,Drill Pokémon,Pokémon Perceur,Pokémon Trapano,Bohrer-Pokémon,Pokémon Taladro
MONSTER_35,MONSTER_NAME,Clefairy,Mélofée,Clefairy,Piepi,Clefairy
MONSTER_35_DESC,MONSTER_DESCRIPTION,Fairy Pokémon,Pokémon Fée,Pokémon Fata,Feen-Pokémon,Pokémon Hada
MONSTER_36,MONSTER_NAME,Clefable,Mélodelfe,Clefable,Pixi,Clefable
MONSTER_36_DESC,MONSTER_DESCRIPTION,Fairy Pokémon,Pokémon Fée,Pokémon Fata,Feen-Pokémon,Pokémon Hada
MONSTER_37,MONSTER_NAME,Vulpix,Goupix,Vulpix,Vulpix,Vulpix
MONSTER_37_DESC,MONSTER_DESCRIPTION,Fox Pokémon,Pokémon Renard,Pokémon Volpe,Fuchs-Pokémon,Pokémon Zorro
MONSTER_38,MONSTER_NAME,Ninetales,Feunard,Ninetales,Vulnona,Ninetales
MONSTER_38_DESC,MONSTER_DESCRIPTION,Fox Pokémon,Pokémon Renard,Pokémon Volpe,Fuchs-Pokémon,Pokémon Zorro
MONSTER_39,MONSTER_NAME,Jigglypuff,Rondoudou,Jigglypuff,Pummeluff,Jigglypuff
MONSTER_39_DESC,MONSTER_DESCRIPTION,Balloon Pokémon,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo
MONSTER_40,MONSTER_NAME,Wigglytuff,Grodoudou,Wigglytuff,Knuddeluff,Wigglytuff
MONSTER_40_DESC,MONSTER_DESCRIPTION,Balloon Pokémon,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo
MONSTER_41,MONSTER_NAME,Zubat,Nosferapti,Zubat,Zubat,Zubat
MONSTER_41_DESC,MONSTER_DESCRIPTION,Bat Pokémon,Pokémon Chovsouris,Pokémon Pipistrello,Fledermaus-Pokémon,Pokémon Murciélago
MONSTER_42,MONSTER_NAME,Golbat,Nosferalto,Golbat,Golbat,Golbat
MONSTER_42_DESC,MONSTER_DESCRIPTION,Bat Pokémon,Pokémon Chovsouris,Pokémon Pipistrello,Fledermaus-Pokémon,Pokémon Murciélago
MONSTER_43,MONSTER_NAME,Oddish,Mystherbe,Oddish,Myrapla,Oddish
MONSTER_43_DESC,MONSTER_DESCRIPTION,Weed Pokémon,Pokémon Racine,Pokémon Malerba,Unkraut-Pokémon,Pokémon Hierbajo
MONSTER_44,MONSTER_NAME,Gloom,Ortide,Gloom,Duflor,Gloom
MONSTER_44_DESC,MONSTER_DESCRIPTION,Weed Pokémon,Pokémon Racine,Pokémon Malerba,Unkraut-Pokémon,Pokémon Hierbajo
MONSTER_45,MONSTER_NAME,Vileplume,Rafflesia,Vileplume,Giflor,Vileplume
MONSTER_45_DESC,MONSTER_DESCRIPTION,Flower Pokémon,Pokémon Fleur,Pokémon Fiore,Blumen-Pokémon,Pokémon Flor
MONSTER_46,MONSTER_NAME,Paras,Paras,Paras,Paras,Paras
MONSTER_46_DESC,MONSTER_DESCRIPTION,Mushroom Pokémon,Pokémon Champignon,Pokémon Fungo,Pilz,Pokémon Hongo
MONSTER_47,MONSTER_NAME,Parasect,Parasect,Parasect,Parasek,Parasect
MONSTER_47_DESC,MONSTER_DESCRIPTION,Mushroom Pokémon,Pokémon Champignon,Pokémon Fungo,Pilz,Pokémon Hongo
MONSTER_48,MONSTER_NAME,Venonat,Mimitoss,Venonat,Bluzuk,Venonat
MONSTER_48_DESC,MONSTER_DESCRIPTION,Insect Pokémon,Pokémon Vermine,Pokémon Insetto,Insekt,Pokémon Insecto
MONSTER_49,MONSTER_NAME,Venomoth,Aéromite,Venomoth,Omot,Venomoth
MONSTER_49_DESC,MONSTER_DESCRIPTION,Poison Moth Pokémon,Pokémon Papipoison,Pokémon Velentarma,Giftmotte,Pokémon Polilla Ven.
MONSTER_50,MONSTER_NAME,Diglett,Taupiqueur,Diglett,Digda,Diglett
MONSTER_50_DESC,MONSTER_DESCRIPTION,Mole Pokémon,Pokémon Taupe,Pokémon Talpa,Maulwurf-Pokémon,Pokémon Topo
MONSTER_51,MONSTER_NAME,Dugtrio,Triopikeur,Dugtrio,Digdri,Dugtrio
MONSTER_51_DESC,MONSTER_DESCRIPTION,Mole Pokémon,Pokémon Taupe,Pokémon Talpa,Maulwurf-Pokémon,Pokémon Topo
MONSTER_52,MONSTER_NAME,Meowth,Miaouss,Meowth,Mauzi,Meowth
MONSTER_52_DESC,MONSTER_DESCRIPTION,Scratch Cat Pokémon,Pokémon Chadégout,Pokémon Graffimiao,Katzen-Pokémon,Pokémon Gato Araña
MONSTER_53,MONSTER_NAME,Persian,Persian,Persian,Snobilikat,Persian
MONSTER_53_DESC,MONSTER_DESCRIPTION,Classy Cat Pokémon,Pokémon Chadeville,Pokémon Nobilgatto,Rassekatzen-Pokémon,Pokémon Gato Fino
MONSTER_54,MONSTER_NAME,Psyduck,Psykokwak,Psyduck,Enton,Psyduck
MONSTER_54_DESC,MONSTER_DESCRIPTION,Duck Pokémon,Pokémon Canard,Pokémon Papero,Enten-Pokémon,Pokémon Pato
MONSTER_55,MONSTER_NAME,Golduck,Akwakwak,Golduck,Entoron,Golduck
MONSTER_55_DESC,MONSTER_DESCRIPTION,Duck Pokémon,Pokémon Canard,Pokémon Papero,Enten-Pokémon,Pokémon Pato
MONSTER_56,MONSTER_NAME,Mankey,Férosinge,Mankey,Menki,Mankey
MONSTER_56_DESC,MONSTER_DESCRIPTION,Pig Monkey Pokémon,Pokémon Porsinge,Pokémon Suinpanzé,Schwein/Affe,Pokémon Mono Cerdo
MONSTER_57,MONSTER_NAME,Primeape,Colossinge,Primeape,Rasaff,Primeape
MONSTER_57_DESC,MONSTER_DESCRIPTION,Pig Monkey Pokémon,Pokémon Porsinge,Pokémon Suinpanzé,Schwein/Affe,Pokémon Mono Cerdo
MONSTER_58,MONSTER_NAME,Growlithe,Caninos,Growlithe,Fukano,Growlithe
MONSTER_58_DESC,MONSTER_DESCRIPTION,Puppy Pokémon,Pokémon Chiot,Pokémon Cagnolino,Welpen-Pokémon,Pokémon Perrito
MONSTER_59,MONSTER_NAME,Arcanine,Arcanin,Arcanine,Arkani,Arcanine
MONSTER_59_DESC,MONSTER_DESCRIPTION,Legendary Pokémon,Pokémon Légendaire,Pokémon Leggenda,Legendär-Pokémon,Pokémon Leyenda
MONSTER_60,MONSTER_NAME,Poliwag,Ptitard,Poliwag,Quapsel,Poliwag
MONSTER_60_DESC,MONSTER_DESCRIPTION,Tadpole Pokémon,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo
MONSTER_61,MONSTER_NAME,Poliwhirl,Têtarte,Poliwhirl,Quaputzi,Poliwhirl
MONSTER_61_DESC,MONSTER_DESCRIPTION,Tadpole Pokémon,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo
MONSTER_62,MONSTER_NAME,Poliwrath,Tartard,Poliwrath,Quappo,Poliwrath
MONSTER_62_DESC,MONSTER_DESCRIPTION,Tadpole Pokémon,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo
MONSTER_63,MONSTER_NAME,Abra,Abra,Abra,Abra,Abra
MONSTER_63_DESC,MONSTER_DESCRIPTION,Psi Pokémon,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi
MONSTER_64,MONSTER_NAME,Kadabra,Kadabra,Kadabra,Kadabra,Kadabra
MONSTER_64_DESC,MONSTER_DESCRIPTION,Psi Pokémon,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi
MONSTER_65,MONSTER_NAME,Alakazam,Alakazam,Alakazam,Simsala,Alakazam
MONSTER_65_DESC,MONSTER_DESCRIPTION,Psi Pokémon,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi
MONSTER_66,MONSTER_NAME,Machop,Machoc,Machop,Machollo,Machop
MONSTER_66_DESC,MONSTER_DESCRIPTION,Superpower Pokémon,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder
MONSTER_67,MONSTER_NAME,Machoke,Machopeur,Machoke,Maschock,Machoke
MONSTER_67_DESC,MONSTER_DESCRIPTION,Superpower Pokémon,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder
MONSTER_68,MONSTER_NAME,Machamp,Mackogneur,Machamp,Machomei,Machamp
MONSTER_68_DESC,MONSTER_DESCRIPTION,Superpower Pokémon,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder
MONSTER_69,MONSTER_NAME,Bellsprout,Chétiflor,Bellsprout,Knofensa,Bellsprout
MONSTER_69_DESC,MONSTER_DESCRIPTION,Flower Pokémon,Pokémon Fleur,Pokémon Fiore,Blume,Pokémon Flor
MONSTER_70,MONSTER_NAME,Weepinbell,Boustiflor,Weepinbell,Ultrigaria,Weepinbell
MONSTER_70_DESC,MONSTER_DESCRIPTION,Flycatcher Pokémon,Pokémon Carnivore,Pokémon Moschivoro,Fliegentod,Pokémon Matamoscas
MONSTER_71,MONSTER_NAME,Victreebel,Empiflor,Victreebel,Sarzenia,Victreebel
MONSTER_71_DESC,MONSTER_DESCRIPTION,Flycatcher Pokémon,Pokémon Carnivore,Pokémon Moschivoro,Fliegentod,Pokémon Matamoscas
MONSTER_72,MONSTER_NAME,Tentacool,Tentacool,Tentacool,Tentacha,Tentacool
MONSTER_72_DESC,MONSTER_DESCRIPTION,Jellyfish Pokémon,Pokémon Mollusque,Pokémon Medusa,Quallen-Pokémon,Pokémon Medusa
MONSTER_73,MONSTER_NAME,Tentacruel,Tentacruel,Tentacruel,Tentoxa,Tentacruel
MONSTER_73_DESC,MONSTER_DESCRIPTION,Jellyfish Pokémon,Pokémon Mollusque,Pokémon Medusa,Quallen-Pokémon,Pokémon Medusa
MONSTER_74,MONSTER_NAME,Geodude,Racaillou,Geodude,Kleinstein,Geodude
MONSTER_74_DESC,MONSTER_DESCRIPTION,Rock Pokémon,Pokémon Roche,Pokémon Roccia,Gestein,Pokémon Roca
MONSTER_75,MONSTER_NAME,Graveler,Gravalanch,Graveler,Georok,Graveler
MONSTER_75_DESC,MONSTER_DESCRIPTION,Rock Pokémon,Pokémon Roche,Pokémon Roccia,Gestein,Pokémon Roca
MONSTER_76,MONSTER_NAME,Golem,Grolem,Golem,Geowaz,Golem
MONSTER_76_DESC,MONSTER_DESCRIPTION,Megaton Pokémon,Pokémon Titanesque,Pokémon Megatone,Urgestein,Pokémon Megatón
MONSTER_77,MONSTER_NAME,Ponyta,Ponyta,Ponyta,Ponita,Ponyta
MONSTER_77_DESC,MONSTER_DESCRIPTION,Fire Horse Pokémon,Pokémon Cheval Feu,Pokémon Cavalfuoco,Feuerpferd-Pokémon,Pokémon Caballo Fuego
MONSTER_78,MONSTER_NAME,Rapidash,Galopa,Rapidash,Gallopa,Rapidash
MONSTER_78_DESC,MONSTER_DESCRIPTION,Fire Horse Pokémon,Pokémon Cheval Feu,Pokémon Cavalfuoco,Feuerpferd-Pokémon,Pokémon Caballo Fuego
MONSTER_79,MONSTER_NAME,Slowpoke,Ramoloss,Slowpoke,Flegmon,Slowpoke
MONSTER_79_DESC,MONSTER_DESCRIPTION,Dopey Pokémon,Pokémon Crétin,Pokémon Ronfone,Schnarcher-Pokémon,Pokémon Atontado
MONSTER_80,MONSTER_NAME,Slowbro,Flagadoss,Slowbro,Lahmus,Slowbro
MONSTER_80_DESC,MONSTER_DESCRIPTION,Hermit Crab Pokémon,Pokémon Symbiose,Pokémon Paguro,Symbiose-Pokémon,Pokémon Ermitaño
MONSTER_81,MONSTER_NAME,Magnemite,Magnéti,Magnemite,Magnetilo,Magnemite
MONSTER_81_DESC,MONSTER_DESCRIPTION,Magnet Pokémon,Pokémon Magnétique,Pokémon Calamita,Magnet-Pokémon,Pokémon Imán
MONSTER_82,MONSTER_NAME,Magneton,Magnéton,Magneton,Magneton,Magneton
MONSTER_82_DESC,MONSTER_DESCRIPTION,Magnet Pokémon,Pokémon Magnétique,Pokémon Calamita,Magnet-Pokémon,Pokémon Imán
MONSTER_83,MONSTER_NAME,Farfetch’d,Canarticho,Farfetch’d,Porenta,Farfetch’d
MONSTER_83_DESC,MONSTER_DESCRIPTION,Wild Duck Pokémon,Pokémon Canard Fou,Pokémon Selvanatra,Wildenten-Pokémon,Pokémon Pato Salvaje
MONSTER_84,MONSTER_NAME,Doduo,Doduo,Doduo,Dodu,Doduo
MONSTER_84_DESC,MONSTER_DESCRIPTION,Twin Bird Pokémon,Pokémon Duoiseau,Pokémon Biuccello,Duovogel,Pokémon Ave Gemela
MONSTER_85,MONSTER_NAME,Dodrio,Dodrio,Dodrio,Dodri,Dodrio
MONSTER_85_DESC,MONSTER_DESCRIPTION,Triple Bird Pokémon,Pokémon Trioiseau,Pokémon Triuccello,Trivogel,Pokémon Ave Triple
MONSTER_86,MONSTER_NAME,Seel,Otaria,Seel,Jurob,Seel
MONSTER_86_DESC,MONSTER_DESCRIPTION,Sea Lion Pokémon,Pokémon Otarie,Pokémon Otaria,Seehund,Pokémon León Marino
MONSTER_87,MONSTER_NAME,Dewgong,Lamantine,Dewgong,Jugong,Dewgong
MONSTER_87_DESC,MONSTER_DESCRIPTION,Sea Lion Pokémon,Pokémon Otarie,Pokémon Otaria,Seehund,Pokémon León Marino
MONSTER_88,MONSTER_NAME,Grimer,Tadmorv,Grimer,Sleima,Grimer
MONSTER_88_DESC,MONSTER_DESCRIPTION,Sludge Pokémon,Pokémon Dégueu,Pokémon Melma,Schlamm,Pokémon Lodo
MONSTER_89,MONSTER_NAME,Muk,Grotadmorv,Muk,Sleimok,Muk
MONSTER_89_DESC,MONSTER_DESCRIPTION,Sludge Pokémon,Pokémon Dégueu,Pokémon Melma,Schlamm,Pokémon Lodo
MONSTER_90,MONSTER_NAME,Shellder,Kokiyas,Shellder,Muschas,Shellder
MONSTER_90_DESC,MONSTER_DESCRIPTION,Bivalve Pokémon,Pokémon Bivalve,Pokémon Bivalve,Muschel-Pokémon,Pokémon Bivalvo
MONSTER_91,MONSTER_NAME,Cloyster,Crustabri,Cloyster,Austos,Cloyster
MONSTER_91_DESC,MONSTER_DESCRIPTION,Bivalve Pokémon,Pokémon Bivalve,Pokémon Bivalve,Muschel-Pokémon,Pokémon Bivalvo
MONSTER_92,MONSTER_NAME,Gastly,Fantominus,Gastly,Nebulak,Gastly
MONSTER_92_DESC,MONSTER_DESCRIPTION,Gas Pokémon,Pokémon Gaz,Pokémon Gas,Gas-Pokémon,Pokémon Gas
MONSTER_93,MONSTER_NAME,Haunter,Spectrum,Haunter,Alpollo,Haunter
MONSTER_93_DESC,MONSTER_DESCRIPTION,Gas Pokémon,Pokémon Gaz,Pokémon Gas,Gas-Pokémon,Pokémon Gas
MONSTER_94,MONSTER_NAME,Gengar,Ectoplasma,Gengar,Gengar,Gengar
MONSTER_94_DESC,MONSTER_DESCRIPTION,Shadow Pokémon,Pokémon Ombre,Pokémon Ombra,Schatten-Pokémon,Pokémon Sombra
